,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration,Physical Time: Physical Time (s)
64,64,2.348440492,2.393317966,1.471146991,100665.0808,111121.9555,109088.3154,101325.0163,128272.4848,298.0161622,312.1355487,-0.608814333,1.011396903,-0.001156433,1.076617793,0.000903409,0.031364084,-0.080025829,0.637268591,0.118337165,0.863382179,64,
65,65,2.069204151,2.112025008,1.476526445,100608.4565,110831.541,109176.6783,101325.0126,128346.0508,298.0113893,312.1144817,-0.60746635,1.012039756,-0.001218958,1.077489907,0.000865006,0.029816835,-0.07596767,0.597812355,0.109691236,0.81940941,65,
66,66,1.831843194,1.87329339,1.490441594,100542.4982,110532.3302,109360.9198,101325.0101,128418.745,298.0088214,312.0147354,-0.604647377,1.012823808,-0.001292314,1.079308254,0.000880999,0.02836917,-0.072468278,0.572326336,0.105528085,0.797188897,66,
67,67,1.648046151,1.690234006,1.513127021,100466.6083,110235.5846,109643.3629,101325.0077,128493.5018,298.0060039,311.8368507,-0.600311961,1.013941912,-0.001394916,1.082095777,0.00123774,0.027080171,-0.069483985,0.558722638,0.105988368,0.794817234,67,
68,68,1.543189758,1.590106481,1.545175193,100380.1575,109962.3474,110027.1559,101325.005,128578.9375,298.0021308,311.585142,-0.594316871,1.01587693,-0.001572655,1.085883547,0.002150057,0.026035742,-0.066991265,0.558376459,0.111849866,0.813046827,68,
69,69,1.512160724,1.568098262,1.588453382,100288.744,109709.2765,110518.6717,101325.0042,128682.7184,298.0017792,311.2609968,-0.586423988,1.017081927,-0.001669542,1.09073444,0.002294581,0.025395996,-0.064918276,0.569556155,0.123512548,0.848878834,69,
70,70,1.523571704,1.590471061,1.634790468,100213.2613,109504.3326,111036.0138,101325.0033,128825.4992,298.0014047,310.9466304,-0.577653203,1.019584823,-0.001885539,1.095840219,0.001712814,0.025509269,-0.06334045,0.589474248,0.138322638,0.897991333,70,
71,71,1.485028855,1.558413807,1.662296173,100126.3671,109324.3989,111354.1943,101325.0029,128974.0148,298.0012364,310.7954692,-0.572238774,1.020346481,-0.001940508,1.098980421,0.001080961,0.024713067,-0.061897654,0.58964116,0.13748709,0.919909481,71,
72,72,1.501245192,1.584651955,1.708879607,100040.1488,109193.0622,111846.8228,101325.0025,129122.5793,298.0010482,310.5079699,-0.563280482,1.022410292,-0.00210388,1.10384229,0.001174819,0.024585182,-0.060758026,0.603847616,0.148897101,0.957790144,72,
73,73,1.514357727,1.607213955,1.754033853,99957.03904,109102.5659,112313.5361,101325.0023,129280.8667,298.0009489,310.2496449,-0.554497823,1.022215826,-0.002053105,1.108448394,0.001165679,0.02424933,-0.059826771,0.617575693,0.156730739,0.98767632,73,
74,74,1.519349655,1.620746112,1.789006638,99874.83245,109058.004,112686.6215,101325.0025,129454.6409,298.0010228,310.0788266,-0.54670886,1.018858591,-0.00171836,1.112130458,0.001034692,0.023915614,-0.059078735,0.635557809,0.161214765,1.011817538,74,
75,75,1.519217547,1.6281663,1.834399579,99803.06031,109031.5908,113119.7018,101325.0033,129585.8628,298.001289,309.8306744,-0.538015894,1.013279148,-0.001190732,1.116404621,0.000922701,0.0231266,-0.058476549,0.646991291,0.164401836,1.021702397,75,
76,76,1.492850697,1.606032912,1.857611009,99734.80385,109021.725,113369.7962,101325.0026,129732.5723,298.0009759,309.738185,-0.532384941,1.014909884,-0.001322966,1.118872868,0.000822492,0.022182937,-0.057982144,0.653711691,0.158668226,1.015802623,76,
77,77,1.456860888,1.572311896,1.882673852,99658.88595,109080.4834,113628.6219,101325.0021,129872.3187,298.0008032,309.6340153,-0.526550538,1.016851858,-0.001478892,1.121427284,0.000774076,0.02110502,-0.057590952,0.653271009,0.152624199,0.999898858,77,
78,78,1.446638741,1.565601912,1.921484824,99593.4338,109128.2136,113989.4254,101325.0016,129998.6191,298.0006202,309.4450962,-0.517698893,1.01982699,-0.001710735,1.124988142,0.000723534,0.020316355,-0.057368561,0.663974947,0.157802134,0.986943757,78,
79,79,1.412104525,1.531916015,1.953407739,99521.28088,109244.9861,114275.4487,101325.0013,130102.6504,298.000498,309.2953857,-0.511300127,1.022443717,-0.001912579,1.127810976,0.000674244,0.019412303,-0.05717453,0.664803296,0.152399537,0.959753355,79,
80,80,1.397244677,1.519002823,1.992494804,99454.89253,109359.7814,114612.6658,101325.001,130207.6752,298.0003768,309.1107251,-0.502638101,1.026173561,-0.002192638,1.131139054,0.000655903,0.018849885,-0.057106553,0.674354128,0.154777485,0.935880836,80,
81,81,1.371310205,1.493728906,2.027951796,99382.71371,109550.4496,114908.0926,101325.0008,130301.0529,298.0002972,308.9487252,-0.495351476,1.029747831,-0.002455939,1.134054692,0.00060298,0.018266812,-0.057074513,0.679548813,0.151235319,0.907488836,81,
82,82,1.359745202,1.483573815,2.084871494,99315.96522,109754.5206,115330.3022,101325.0006,130368.5607,298.0002333,308.6724831,-0.485019865,1.034341092,-0.002776019,1.138221579,0.000579331,0.017919031,-0.057143312,0.689561073,0.155965168,0.883496893,82,
83,83,1.340878387,1.465241011,2.112931249,99244.28879,110033.0967,115571.0588,101325.0005,130480.1587,298.0001809,308.5677597,-0.477769773,1.039108129,-0.003114114,1.140597663,0.000562176,0.017718015,-0.057243741,0.701879861,0.153731739,0.863715544,83,
84,84,1.332230109,1.457478661,2.175346256,99169.48039,110362.092,116002.4574,101325.0004,130549.9174,298.0001415,308.2870032,-0.466534004,1.04498536,-0.003497867,1.144855238,0.00056224,0.017511232,-0.057418178,0.710989643,0.159909385,0.854848109,84,
85,85,1.328402954,1.454174681,2.301136493,99127.36223,110502.6771,116719.843,101325.0003,130514.432,298.0001117,307.7138338,-0.450638978,1.052316735,-0.003929327,1.151935284,0.000511173,0.017577921,-0.057661853,0.710497393,0.173542197,0.848793204,85,
86,86,1.260172289,1.381888742,2.243013635,99085.37502,110655.253,116495.1834,101325.0003,130724.0005,298.0000977,308.0310153,-0.453290893,1.056118688,-0.004239682,1.149718067,0.000458412,0.017799072,-0.057775849,0.710235753,0.142272194,0.821122811,86,
87,87,1.208053046,1.324999571,2.222721157,99043.50242,110819.4029,116444.9625,101325.0002,130867.0042,298.000083,308.1676282,-0.452904883,1.060616733,-0.004575602,1.149222426,0.000408243,0.017570862,-0.057918966,0.707219373,0.12554615,0.804783491,87,
